,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,SUBINIT
167,[[12]],[[168]],[[10]],['high holistic'],['right'],['upright'],[],[],[[4]],JX
168,[[12]],[[169]],[[9]],['low holistic'],['right'],['inverted'],[],[],[[12]],JX
169,[[12]],[[170]],[[18]],['low holistic'],['left'],['inverted'],[],[],[[12]],JX
170,[[12]],[[171]],[[14]],['high holistic'],['right'],['upright'],[],[],[[8]],JX
171,[[12]],[[172]],[[4]],['low holistic'],['left'],['inverted'],[],[],[[8]],JX
172,[[12]],[[173]],[[13]],['low holistic'],['right'],['inverted'],[],[],[[12]],JX
173,[[12]],[[174]],[[14]],['low holistic'],['right'],['upright'],[],[],[[2]],JX
174,[[12]],[[175]],[[6]],['low holistic'],['left'],['upright'],[],[],[[6]],JX
175,[[12]],[[176]],[[10]],['low holistic'],['left'],['upright'],[],[],[[10]],JX
176,[[12]],[[177]],[[4]],['low holistic'],['right'],['inverted'],[],[],[[12]],JX
177,[[12]],[[178]],[[7]],['high holistic'],['right'],['inverted'],[],[],[[4]],JX
178,[[12]],[[179]],[[19]],['high holistic'],['fovea'],['inverted'],[],[],[[0]],JX
179,[[12]],[[180]],[[1]],['low holistic'],['right'],['upright'],[],[],[[8]],JX
180,[[12]],[[181]],[[11]],['high holistic'],['left'],['inverted'],[],[],[[12]],JX
181,[[12]],[[182]],[[11]],['high holistic'],['right'],['inverted'],[],[],[[4]],JX
182,[[12]],[[183]],[[12]],['low holistic'],['right'],['upright'],[],[],[[4]],JX
183,[[12]],[[184]],[[15]],['low holistic'],['right'],['inverted'],[],[],[[12]],JX
184,[[12]],[[185]],[[8]],['low holistic'],['right'],['inverted'],[],[],[[2]],JX
185,[[12]],[[186]],[[17]],['high holistic'],['left'],['upright'],[],[],[[2]],JX
186,[[12]],[[187]],[[13]],['high holistic'],['left'],['upright'],[],[],[[4]],JX
187,[[12]],[[188]],[[19]],['low holistic'],['left'],['upright'],[],[],[[8]],JX
188,[[12]],[[189]],[[20]],['high holistic'],['left'],['inverted'],[],[],[[4]],JX
189,[[12]],[[190]],[[20]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],JX
190,[[12]],[[191]],[[5]],['low holistic'],['left'],['inverted'],[],[],[[10]],JX
191,[[12]],[[192]],[[9]],['low holistic'],['left'],['inverted'],[],[],[[2]],JX
192,[[12]],[[193]],[[18]],['low holistic'],['left'],['upright'],[],[],[[12]],JX
193,[[12]],[[194]],[[8]],['low holistic'],['right'],['upright'],[],[],[[6]],JX
194,[[12]],[[195]],[[3]],['low holistic'],['left'],['inverted'],[],[],[[4]],JX
195,[[12]],[[196]],[[8]],['low holistic'],['right'],['upright'],[],[],[[12]],JX
196,[[12]],[[197]],[[17]],['high holistic'],['left'],['upright'],[],[],[[8]],JX
197,[[12]],[[198]],[[6]],['high holistic'],['left'],['inverted'],[],[],[[2]],JX
198,[[12]],[[199]],[[5]],['low holistic'],['right'],['inverted'],[],[],[[2]],JX
199,[[12]],[[200]],[[18]],['high holistic'],['left'],['upright'],[],[],[[6]],JX
200,[[12]],[[201]],[[20]],['high holistic'],['right'],['inverted'],[],[],[[12]],JX
201,[[12]],[[202]],[[16]],['high holistic'],['right'],['inverted'],[],[],[[10]],JX
202,[[12]],[[203]],[[3]],['low holistic'],['right'],['upright'],[],[],[[8]],JX
203,[[12]],[[204]],[[10]],['high holistic'],['right'],['inverted'],[],[],[[2]],JX
204,[[12]],[[205]],[[19]],['low holistic'],['left'],['upright'],[],[],[[10]],JX
205,[[12]],[[206]],[[11]],['low holistic'],['left'],['upright'],[],[],[[10]],JX
206,[[12]],[[207]],[[17]],['high holistic'],['right'],['upright'],[],[],[[8]],JX
207,[[12]],[[208]],[[10]],['low holistic'],['left'],['upright'],[],[],[[4]],JX
208,[[12]],[[209]],[[2]],['low holistic'],['right'],['upright'],[],[],[[2]],JX
209,[[12]],[[210]],[[6]],['low holistic'],['left'],['upright'],[],[],[[4]],JX
210,[[12]],[[211]],[[12]],['low holistic'],['left'],['inverted'],[],[],[[10]],JX
211,[[12]],[[212]],[[18]],['high holistic'],['right'],['inverted'],[],[],[[2]],JX
212,[[12]],[[213]],[[12]],['low holistic'],['right'],['upright'],[],[],[[4]],JX
213,[[12]],[[214]],[[6]],['high holistic'],['right'],['inverted'],[],[],[[2]],JX
214,[[12]],[[215]],[[14]],['high holistic'],['right'],['inverted'],[],[],[[2]],JX
215,[[12]],[[216]],[[2]],['high holistic'],['right'],['inverted'],[],[],[[10]],JX
216,[[12]],[[217]],[[16]],['high holistic'],['right'],['inverted'],[],[],[[2]],JX
217,[[12]],[[218]],[[12]],['high holistic'],['right'],['upright'],[],[],[[12]],JX
218,[[12]],[[219]],[[11]],['low holistic'],['left'],['inverted'],[],[],[[4]],JX
219,[[12]],[[220]],[[13]],['high holistic'],['right'],['inverted'],[],[],[[10]],JX
220,[[12]],[[221]],[[12]],['low holistic'],['left'],['inverted'],[],[],[[12]],JX
221,[[12]],[[222]],[[16]],['high holistic'],['left'],['inverted'],[],[],[[8]],JX
222,[[12]],[[223]],[[3]],['low holistic'],['right'],['inverted'],[],[],[[6]],JX
223,[[12]],[[224]],[[5]],['high holistic'],['right'],['upright'],[],[],[[6]],JX
224,[[12]],[[225]],[[7]],['high holistic'],['right'],['upright'],[],[],[[4]],JX
225,[[12]],[[226]],[[17]],['high holistic'],['right'],['upright'],[],[],[[8]],JX
226,[[12]],[[227]],[[10]],['low holistic'],['right'],['upright'],[],[],[[8]],JX
227,[[12]],[[228]],[[7]],['low holistic'],['left'],['upright'],[],[],[[6]],JX
228,[[12]],[[229]],[[11]],['low holistic'],['right'],['inverted'],[],[],[[4]],JX
229,[[12]],[[230]],[[3]],['high holistic'],['left'],['upright'],[],[],[[10]],JX
230,[[12]],[[231]],[[18]],['low holistic'],['right'],['inverted'],[],[],[[4]],JX
231,[[12]],[[232]],[[16]],['high holistic'],['right'],['upright'],[],[],[[10]],JX
232,[[12]],[[233]],[[6]],['high holistic'],['right'],['upright'],[],[],[[2]],JX
233,[[12]],[[234]],[[14]],['low holistic'],['left'],['inverted'],[],[],[[12]],JX
