PATH,NAME,PATH_QUALTRICS,NUMBER_QUALTRICS,ORIENTATION
https://storage.cloud.google.com/mooney_holistic_complete/,U0073.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0073.bmp,46,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0074.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0074.bmp,47,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0075.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0075.bmp,48,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0076.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0076.bmp,49,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0078.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0078.bmp,50,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0079.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0079.bmp,51,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0080.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0080.bmp,52,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0084.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0084.bmp,53,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0086.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0086.bmp,54,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0087.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0087.bmp,55,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0090.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0090.bmp,56,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0091.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0091.bmp,57,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0093.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0093.bmp,58,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0095.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0095.bmp,59,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0096.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0096.bmp,60,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0097.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0097.bmp,61,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0101.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0101.bmp,62,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0103.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0103.bmp,63,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0106.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0106.bmp,64,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0107.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0107.bmp,65,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0108.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0108.bmp,66,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0110.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0110.bmp,67,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0114.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0114.bmp,68,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0117.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0117.bmp,69,upright
