,IMAGE_NUMBER,MALE,FEMALE
0,1.0,9.090909090909092,90.9090909090909
1,2.0,9.090909090909092,90.9090909090909
2,3.0,54.54545454545454,45.45454545454545
3,4.0,9.090909090909092,90.9090909090909
4,5.0,9.090909090909092,90.9090909090909
5,6.0,54.54545454545454,45.45454545454545
6,7.0,0,100.0
7,8.0,81.81818181818183,18.181818181818183
8,9.0,90.9090909090909,9.090909090909092
9,10.0,72.72727272727273,27.27272727272727
10,11.0,90.9090909090909,9.090909090909092
11,12.0,0,100.0
12,13.0,100.0,0
13,14.0,100.0,0
14,15.0,0,100.0
15,16.0,9.090909090909092,90.9090909090909
16,17.0,9.090909090909092,90.9090909090909
17,18.0,36.36363636363637,63.63636363636363
18,19.0,9.090909090909092,90.9090909090909
19,20.0,27.27272727272727,72.72727272727273
20,21.0,18.181818181818183,81.81818181818183
21,22.0,90.9090909090909,9.090909090909092
22,23.0,45.45454545454545,54.54545454545454
23,24.0,0,100.0
24,25.0,100.0,0
25,26.0,100.0,0
26,27.0,90.9090909090909,9.090909090909092
27,28.0,90.9090909090909,9.090909090909092
28,29.0,45.45454545454545,54.54545454545454
29,30.0,72.72727272727273,27.27272727272727
30,31.0,90.9090909090909,9.090909090909092
31,32.0,81.81818181818183,18.181818181818183
32,33.0,90.9090909090909,9.090909090909092
33,34.0,90.9090909090909,9.090909090909092
34,35.0,100.0,0
35,36.0,100.0,0
36,37.0,36.36363636363637,63.63636363636363
37,38.0,100.0,0
38,39.0,36.36363636363637,63.63636363636363
39,40.0,9.090909090909092,90.9090909090909
40,41.0,0,100.0
41,42.0,90.9090909090909,9.090909090909092
42,43.0,9.090909090909092,90.9090909090909
43,44.0,81.81818181818183,18.181818181818183
44,45.0,45.45454545454545,54.54545454545454
45,46.0,36.36363636363637,63.63636363636363
46,47.0,90.9090909090909,9.090909090909092
47,48.0,90.9090909090909,9.090909090909092
48,49.0,9.090909090909092,90.9090909090909
49,50.0,72.72727272727273,27.27272727272727
50,51.0,9.090909090909092,90.9090909090909
51,52.0,0,100.0
52,53.0,81.81818181818183,18.181818181818183
53,54.0,0,100.0
54,55.0,18.181818181818183,81.81818181818183
55,56.0,90.9090909090909,9.090909090909092
56,57.0,18.181818181818183,81.81818181818183
57,58.0,72.72727272727273,27.27272727272727
58,59.0,18.181818181818183,81.81818181818183
59,60.0,90.9090909090909,9.090909090909092
60,61.0,0,100.0
61,62.0,81.81818181818183,18.181818181818183
62,63.0,63.63636363636363,36.36363636363637
63,64.0,0,100.0
64,65.0,9.090909090909092,90.9090909090909
65,66.0,0,100.0
66,67.0,90.9090909090909,9.090909090909092
67,68.0,9.090909090909092,90.9090909090909
68,69.0,100.0,0
69,70.0,36.36363636363637,63.63636363636363
70,71.0,100.0,0
71,72.0,90.9090909090909,9.090909090909092
72,73.0,9.090909090909092,90.9090909090909
73,74.0,0,100.0
74,75.0,90.9090909090909,9.090909090909092
75,76.0,9.090909090909092,90.9090909090909
76,77.0,90.9090909090909,9.090909090909092
77,78.0,9.090909090909092,90.9090909090909
78,79.0,81.81818181818183,18.181818181818183
79,80.0,0,100.0
80,81.0,9.090909090909092,90.9090909090909
81,82.0,100.0,0
82,83.0,18.181818181818183,81.81818181818183
83,84.0,9.090909090909092,90.9090909090909
84,85.0,54.54545454545454,45.45454545454545
85,86.0,9.090909090909092,90.9090909090909
86,87.0,9.090909090909092,90.9090909090909
87,88.0,90.9090909090909,9.090909090909092
88,89.0,90.9090909090909,9.090909090909092
89,90.0,27.27272727272727,72.72727272727273
90,91.0,0,100.0
91,92.0,90.9090909090909,9.090909090909092
92,93.0,0,100.0
93,94.0,81.81818181818183,18.181818181818183
94,95.0,18.181818181818183,81.81818181818183
95,96.0,9.090909090909092,90.9090909090909
96,97.0,100.0,0
97,98.0,100.0,0
98,99.0,100.0,0
99,100.0,9.090909090909092,90.9090909090909
100,101.0,0,100.0
101,102.0,18.181818181818183,81.81818181818183
102,103.0,81.81818181818183,18.181818181818183
103,104.0,72.72727272727273,27.27272727272727
104,105.0,90.9090909090909,9.090909090909092
105,106.0,27.27272727272727,72.72727272727273
106,107.0,90.9090909090909,9.090909090909092
107,108.0,100.0,0
108,109.0,72.72727272727273,27.27272727272727
109,110.0,9.090909090909092,90.9090909090909
110,111.0,36.36363636363637,63.63636363636363
111,112.0,81.81818181818183,18.181818181818183
112,113.0,18.181818181818183,81.81818181818183
113,114.0,90.9090909090909,9.090909090909092
114,115.0,0,100.0
115,116.0,27.27272727272727,72.72727272727273
116,117.0,18.181818181818183,81.81818181818183
117,118.0,9.090909090909092,90.9090909090909
118,119.0,0,100.0
119,120.0,63.63636363636363,36.36363636363637
120,121.0,90.9090909090909,9.090909090909092
121,122.0,100.0,0
122,123.0,90.9090909090909,9.090909090909092
123,124.0,9.090909090909092,90.9090909090909
124,125.0,0,100.0
125,126.0,90.9090909090909,9.090909090909092
126,127.0,0,100.0
127,128.0,72.72727272727273,27.27272727272727
128,129.0,0,100.0
129,130.0,90.9090909090909,9.090909090909092
130,131.0,0,100.0
131,132.0,27.27272727272727,72.72727272727273
132,133.0,90.9090909090909,9.090909090909092
133,134.0,0,100.0
134,135.0,0,100.0
135,136.0,90.9090909090909,9.090909090909092
136,137.0,90.9090909090909,9.090909090909092
137,138.0,0,100.0
138,139.0,100.0,0
139,140.0,0,100.0
140,141.0,27.27272727272727,72.72727272727273
141,142.0,9.090909090909092,90.9090909090909
142,143.0,9.090909090909092,90.9090909090909
143,144.0,90.9090909090909,9.090909090909092
