PATH,ORIGINAL,PATH_QUALTRICS,,NUMBER_QUALTRICS,IS_TRAP
https://storage.cloud.google.com/gender_mooneys/,U0078.bmp,https://storage.cloud.google.com/gender_mooneys/U0078.bmp,,50,no
https://storage.cloud.google.com/gender_mooneys/,U0079.bmp,https://storage.cloud.google.com/gender_mooneys/U0079.bmp,,51,no
https://storage.cloud.google.com/gender_mooneys/,U0080.bmp,https://storage.cloud.google.com/gender_mooneys/U0080.bmp,,52,no
https://storage.cloud.google.com/gender_mooneys/,U0084.bmp,https://storage.cloud.google.com/gender_mooneys/U0084.bmp,,53,no
https://storage.cloud.google.com/gender_mooneys/,U0086.bmp,https://storage.cloud.google.com/gender_mooneys/U0086.bmp,,54,no
https://storage.cloud.google.com/gender_mooneys/,U0087.bmp,https://storage.cloud.google.com/gender_mooneys/U0087.bmp,,55,no
https://storage.cloud.google.com/gender_mooneys/,U0090.bmp,https://storage.cloud.google.com/gender_mooneys/U0090.bmp,,56,no
https://storage.cloud.google.com/gender_mooneys/,U0091.bmp,https://storage.cloud.google.com/gender_mooneys/U0091.bmp,,57,no
https://storage.cloud.google.com/gender_mooneys/,U0093.bmp,https://storage.cloud.google.com/gender_mooneys/U0093.bmp,,58,no
https://storage.cloud.google.com/gender_mooneys/,U0095.bmp,https://storage.cloud.google.com/gender_mooneys/U0095.bmp,,59,no
https://storage.cloud.google.com/gender_mooneys/,U0096.bmp,https://storage.cloud.google.com/gender_mooneys/U0096.bmp,,60,no
https://storage.cloud.google.com/gender_mooneys/,U0097.bmp,https://storage.cloud.google.com/gender_mooneys/U0097.bmp,,61,no
https://storage.cloud.google.com/gender_mooneys/,U0101.bmp,https://storage.cloud.google.com/gender_mooneys/U0101.bmp,,62,no
https://storage.cloud.google.com/gender_mooneys/,U0103.bmp,https://storage.cloud.google.com/gender_mooneys/U0103.bmp,,63,no
https://storage.cloud.google.com/gender_mooneys/,U0106.bmp,https://storage.cloud.google.com/gender_mooneys/U0106.bmp,,64,no
https://storage.cloud.google.com/gender_mooneys/,U0107.bmp,https://storage.cloud.google.com/gender_mooneys/U0107.bmp,,65,no
https://storage.cloud.google.com/gender_mooneys/,U0108.bmp,https://storage.cloud.google.com/gender_mooneys/U0108.bmp,,66,no
https://storage.cloud.google.com/gender_mooneys/,U0110.bmp,https://storage.cloud.google.com/gender_mooneys/U0110.bmp,,67,no
https://storage.cloud.google.com/gender_mooneys/,U0114.bmp,https://storage.cloud.google.com/gender_mooneys/U0114.bmp,,68,no
https://storage.cloud.google.com/gender_mooneys/,U0117.bmp,https://storage.cloud.google.com/gender_mooneys/U0117.bmp,,69,no
https://storage.cloud.google.com/gender_mooneys/,U0120.bmp,https://storage.cloud.google.com/gender_mooneys/U0120.bmp,,70,no
https://storage.cloud.google.com/gender_mooneys/,U0121.bmp,https://storage.cloud.google.com/gender_mooneys/U0121.bmp,,71,no
https://storage.cloud.google.com/gender_mooneys/,U0122.bmp,https://storage.cloud.google.com/gender_mooneys/U0122.bmp,,72,no
https://storage.cloud.google.com/gender_mooneys/,U0123.bmp,https://storage.cloud.google.com/gender_mooneys/U0123.bmp,,73,no
https://storage.cloud.google.com/gender_mooneys/,U0124.bmp,https://storage.cloud.google.com/gender_mooneys/U0124.bmp,,74,no
https://storage.cloud.google.com/gender_mooneys/,U0125.bmp,https://storage.cloud.google.com/gender_mooneys/U0125.bmp,,75,no
https://storage.cloud.google.com/gender_mooneys/,U0126.bmp,https://storage.cloud.google.com/gender_mooneys/U0126.bmp,,76,no
https://storage.cloud.google.com/gender_mooneys/,U0128.bmp,https://storage.cloud.google.com/gender_mooneys/U0128.bmp,,77,no
https://storage.cloud.google.com/gender_mooneys/,U0129.bmp,https://storage.cloud.google.com/gender_mooneys/U0129.bmp,,78,no
https://storage.cloud.google.com/gender_mooneys/,U0131.bmp,https://storage.cloud.google.com/gender_mooneys/U0131.bmp,,79,no
https://storage.cloud.google.com/gender_mooneys/,U0133.bmp,https://storage.cloud.google.com/gender_mooneys/U0133.bmp,,80,no
https://storage.cloud.google.com/gender_mooneys/,U0134.bmp,https://storage.cloud.google.com/gender_mooneys/U0134.bmp,,81,no
https://storage.cloud.google.com/gender_mooneys/,U0136.bmp,https://storage.cloud.google.com/gender_mooneys/U0136.bmp,,82,no
https://storage.cloud.google.com/gender_mooneys/,U0137.bmp,https://storage.cloud.google.com/gender_mooneys/U0137.bmp,,83,no
https://storage.cloud.google.com/gender_mooneys/,U0138.bmp,https://storage.cloud.google.com/gender_mooneys/U0138.bmp,,84,no
https://storage.cloud.google.com/gender_mooneys/,U0139.bmp,https://storage.cloud.google.com/gender_mooneys/U0139.bmp,,85,no
https://storage.cloud.google.com/gender_mooneys/,U0140.bmp,https://storage.cloud.google.com/gender_mooneys/U0140.bmp,,86,no
https://storage.cloud.google.com/gender_mooneys/,U0141.bmp,https://storage.cloud.google.com/gender_mooneys/U0141.bmp,,87,no
https://storage.cloud.google.com/gender_mooneys/,U0142.bmp,https://storage.cloud.google.com/gender_mooneys/U0142.bmp,,88,no
https://storage.cloud.google.com/gender_mooneys/,U0144.bmp,https://storage.cloud.google.com/gender_mooneys/U0144.bmp,,89,no
https://storage.cloud.google.com/gender_mooneys/,U0145.bmp,https://storage.cloud.google.com/gender_mooneys/U0145.bmp,,90,no
https://storage.cloud.google.com/gender_mooneys/,U0146.bmp,https://storage.cloud.google.com/gender_mooneys/U0146.bmp,,91,no
https://storage.cloud.google.com/gender_mooneys/,U0149.bmp,https://storage.cloud.google.com/gender_mooneys/U0149.bmp,,92,no
https://storage.cloud.google.com/gender_mooneys/,U0152.bmp,https://storage.cloud.google.com/gender_mooneys/U0152.bmp,,93,no
https://storage.cloud.google.com/gender_mooneys/,U0153.bmp,https://storage.cloud.google.com/gender_mooneys/U0153.bmp,,94,no
https://storage.cloud.google.com/gender_mooneys/,U0155.bmp,https://storage.cloud.google.com/gender_mooneys/U0155.bmp,,95,no
https://storage.cloud.google.com/gender_mooneys/,U0156.bmp,https://storage.cloud.google.com/gender_mooneys/U0156.bmp,,96,no
https://storage.cloud.google.com/gender_mooneys/,U0157.bmp,https://storage.cloud.google.com/gender_mooneys/U0157.bmp,,97,no
https://storage.cloud.google.com/gender_mooneys/,U0158.bmp,https://storage.cloud.google.com/gender_mooneys/U0158.bmp,,98,no
https://storage.cloud.google.com/gender_mooneys/,U0159.bmp,https://storage.cloud.google.com/gender_mooneys/U0159.bmp,,99,no
https://storage.cloud.google.com/gender_mooneys/,U0160.bmp,https://storage.cloud.google.com/gender_mooneys/U0160.bmp,,100,no
https://storage.cloud.google.com/gender_mooneys/,U0164.bmp,https://storage.cloud.google.com/gender_mooneys/U0164.bmp,,101,no
https://storage.cloud.google.com/gender_mooneys/,U0165.bmp,https://storage.cloud.google.com/gender_mooneys/U0165.bmp,,102,no
https://storage.cloud.google.com/gender_mooneys/,U0166.bmp,https://storage.cloud.google.com/gender_mooneys/U0166.bmp,,103,no
https://storage.cloud.google.com/gender_mooneys/,U0168.bmp,https://storage.cloud.google.com/gender_mooneys/U0168.bmp,,104,no
https://storage.cloud.google.com/gender_mooneys/,U0171.bmp,https://storage.cloud.google.com/gender_mooneys/U0171.bmp,,105,no
https://storage.cloud.google.com/gender_mooneys/,U0173.bmp,https://storage.cloud.google.com/gender_mooneys/U0173.bmp,,106,no
https://storage.cloud.google.com/gender_mooneys/,U0175.bmp,https://storage.cloud.google.com/gender_mooneys/U0175.bmp,,107,no
https://storage.cloud.google.com/gender_mooneys/,U0178.bmp,https://storage.cloud.google.com/gender_mooneys/U0178.bmp,,108,no
https://storage.cloud.google.com/gender_mooneys/,U0179.bmp,https://storage.cloud.google.com/gender_mooneys/U0179.bmp,,109,no
https://storage.cloud.google.com/gender_mooneys/,U0181.bmp,https://storage.cloud.google.com/gender_mooneys/U0181.bmp,,110,no
https://storage.cloud.google.com/gender_mooneys/,U0182.bmp,https://storage.cloud.google.com/gender_mooneys/U0182.bmp,,111,no
https://storage.cloud.google.com/gender_mooneys/,U0183.bmp,https://storage.cloud.google.com/gender_mooneys/U0183.bmp,,112,no
https://storage.cloud.google.com/gender_mooneys/,U0186.bmp,https://storage.cloud.google.com/gender_mooneys/U0186.bmp,,113,no
https://storage.cloud.google.com/gender_mooneys/,U0187.bmp,https://storage.cloud.google.com/gender_mooneys/U0187.bmp,,114,no
https://storage.cloud.google.com/gender_mooneys/,U0188.bmp,https://storage.cloud.google.com/gender_mooneys/U0188.bmp,,115,no
https://storage.cloud.google.com/gender_mooneys/,U0189.bmp,https://storage.cloud.google.com/gender_mooneys/U0189.bmp,,116,no
https://storage.cloud.google.com/gender_mooneys/,U0192.bmp,https://storage.cloud.google.com/gender_mooneys/U0192.bmp,,117,no
https://storage.cloud.google.com/gender_mooneys/,U0193.bmp,https://storage.cloud.google.com/gender_mooneys/U0193.bmp,,118,no
https://storage.cloud.google.com/gender_mooneys/,U0194.bmp,https://storage.cloud.google.com/gender_mooneys/U0194.bmp,,119,no
https://storage.cloud.google.com/gender_mooneys/,U0195.bmp,https://storage.cloud.google.com/gender_mooneys/U0195.bmp,,120,no
https://storage.cloud.google.com/gender_mooneys/,U0197.bmp,https://storage.cloud.google.com/gender_mooneys/U0197.bmp,,121,no
https://storage.cloud.google.com/gender_mooneys/,U0198.bmp,https://storage.cloud.google.com/gender_mooneys/U0198.bmp,,122,no
https://storage.cloud.google.com/gender_mooneys/,U0199.bmp,https://storage.cloud.google.com/gender_mooneys/U0199.bmp,,123,no
https://storage.cloud.google.com/gender_mooneys/,U0204.bmp,https://storage.cloud.google.com/gender_mooneys/U0204.bmp,,124,no
https://storage.cloud.google.com/gender_mooneys/,U0206.bmp,https://storage.cloud.google.com/gender_mooneys/U0206.bmp,,125,no
https://storage.cloud.google.com/gender_mooneys/,U0207.bmp,https://storage.cloud.google.com/gender_mooneys/U0207.bmp,,126,no
https://storage.cloud.google.com/gender_mooneys/,U0208.bmp,https://storage.cloud.google.com/gender_mooneys/U0208.bmp,,127,no
https://storage.cloud.google.com/gender_mooneys/,U0209.bmp,https://storage.cloud.google.com/gender_mooneys/U0209.bmp,,128,no
https://storage.cloud.google.com/gender_mooneys/,U0210.bmp,https://storage.cloud.google.com/gender_mooneys/U0210.bmp,,129,no
https://storage.cloud.google.com/gender_mooneys/,U0211.bmp,https://storage.cloud.google.com/gender_mooneys/U0211.bmp,,130,no
https://storage.cloud.google.com/gender_mooneys/,U0214.bmp,https://storage.cloud.google.com/gender_mooneys/U0214.bmp,,131,no
https://storage.cloud.google.com/gender_mooneys/,U0215.bmp,https://storage.cloud.google.com/gender_mooneys/U0215.bmp,,132,no
https://storage.cloud.google.com/gender_mooneys/,U0217.bmp,https://storage.cloud.google.com/gender_mooneys/U0217.bmp,,133,no
https://storage.cloud.google.com/gender_mooneys/,U0219.bmp,https://storage.cloud.google.com/gender_mooneys/U0219.bmp,,134,no
https://storage.cloud.google.com/gender_mooneys/,U0220.bmp,https://storage.cloud.google.com/gender_mooneys/U0220.bmp,,135,no
https://storage.cloud.google.com/gender_mooneys/,U0222.bmp,https://storage.cloud.google.com/gender_mooneys/U0222.bmp,,136,no
https://storage.cloud.google.com/gender_mooneys/,U0223.bmp,https://storage.cloud.google.com/gender_mooneys/U0223.bmp,,137,no
https://storage.cloud.google.com/gender_mooneys/,U0225.bmp,https://storage.cloud.google.com/gender_mooneys/U0225.bmp,,138,no
https://storage.cloud.google.com/gender_mooneys/,U0228.bmp,https://storage.cloud.google.com/gender_mooneys/U0228.bmp,,139,no
https://storage.cloud.google.com/gender_mooneys/,U0229.bmp,https://storage.cloud.google.com/gender_mooneys/U0229.bmp,,140,no
